* ログレベルの解説
,ログレベル,略,レベルの意味するところ,対象,実例
,sen_log_none, ,何もなし,使わない,使わない
,sen_log_emerg,E,非常に危険な状態,即落ちの状態,今すぐSennaを強制終了しなければならないエラー
,sen_log_alert,A,早急に対処が必要,Senna外部要因エラー,malloc失敗、diskfull等、本来ありえない外部状態によって引き起こされるエラー。
,sen_log_crit,C,致命的なエラー,復旧できないエラー,インデックス破損など
,sen_log_error,e,一般的なエラー,復旧できるエラー,
,sen_log_warning,w,システムからの警告,警告,渡されるパラメータが間違っているなど
,sen_log_notice,n,システムからの通知,運用状態で常には増えない情報,インデックス開いた・閉じたなど
,sen_log_info,i,システムからの情報,運用状態で常に増える情報,検索クエリの中身・結果など
,sen_log_debug,d,デバッグ用,Senna開発用情報,各種デバッグプリント
,sen_log_dump,-,なんでも,使わない,使わない
